"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"HE39",1.51,3.607811556,23.9667019814656,4.481,24431.89353,0.09065127021,0.00034486,0.0068478,1.469e-05,2.818e-05,1.996e-05,0.00357828,0.00076522,0.00147611,6e-05,0.00026478,1.192e-05,6.6e-07,0.00052004,0.01394998,0.00136453,3.775e-05,0.0007015,0.00446107,0.00221841,2.6e-07,7.536e-05,0.00075647,3.67e-06,1.133e-05,0.00018928,66.37833653
"AS03",1.51,4.996560553,23.463,3.915,24481.4248,0.1158626907,0.00344108,0.2143712,0.00041737,0.00107616,0.00404695,0.01578872,0.01836244,0.02845698,0.02134802,0.00046633,0.00041,7.657e-05,0.22307268,0.04050594,0.09306081,0.00225544,0.00062903,0.01403574,0.00481226,4.06e-06,0.00416667,0.00917166,4.33e-05,3.703e-05,0.00380265,75.41552562
"AS25",1.51,6.137674724,22.317,8.577,12427.88225,0.1104082625,0.00378153,0.21974288,0.00027708,0.00093742,0.00046801,0.02994213,0.07032135,0.02958324,0.02141892,0.00082137,0.00030141,8.97e-05,0.21830939,0.0108016,0.02860475,0.00195755,0.0012658,0.027234,0.01354314,4.32e-06,0.00512647,0.00870795,2.702e-05,2.138e-05,0.00217759,68.15741394
"AS26",1.51,7.25040889,8.691,3.24,23046.58312,0.1278908123,2.185e-05,0.01200566,4.467e-05,4.941e-05,5.333e-05,0.05601216,0.01682347,0.00258794,0.00010519,0.00103314,0.00119838,5.152e-05,0.00362565,0.00590828,9.365e-05,2.036e-05,0.00133806,0.00782121,0.00296593,6.2e-07,0.00063078,0.00084397,6.44e-06,3.504e-05,0.00033185,72.02033062
"HE18",3.082,9.161593599,20.184,1.663,12034.67511,0.1606929032,0.00031866,0.01749126,6.782e-05,0.00010498,5.427e-05,0.00545871,0.01363305,0.0077033,0.00158062,0.00040392,8.836e-05,1e-06,0.0398599,0.00275866,0.00208161,0.00019442,0.00107015,0.01580407,0.00158312,1.7e-07,0.00141012,0.00056424,7.43e-06,1.728e-05,2.387e-05,68.81096758
"AS31",4.588,2.434585694,10.459,3.127,11689.85151,0.07212355848,0.00093616,0.02683252,4.195e-05,0.00014273,2.918e-05,0.00585142,0.01569161,0.00136026,0.00071172,0.00043298,0.00016689,1.334e-05,0.00518871,0.0023608,0.00242387,8.77e-06,0.00114714,0.00729501,0.00169701,5.8e-07,0.00070124,0.00123702,2.453e-05,1.853e-05,0.00030952,70.54568553
"HE13",5.306,2.487603308,19.3,3.681,12741.72526,0.05814374354,0.01035102,0.03724967,5.385e-05,0.00039328,0.00275015,0.00200231,0.00453054,0.00508833,0.00389362,0.00016944,8.136e-05,4.886e-05,0.04040927,0.02646294,0.0514277,0.00034535,0.00083716,0.01963786,0.00196508,6.3e-07,0.00114706,0.00116281,1.236e-05,3.56e-06,0.00017836,75.7590631796513
"HE22",6.019,5.253295563,16.578,0.196,15844.9920619845,0.09862892224,0.0005208,0.07286595,0.00014622,0.00034857,0.00034081,0.01827086,0.05159362,0.01300286,0.01410838,0.00015866,0.00019895,4.816e-05,0.13228547,0.00424511,0.01784596,0.0011987,0.00047427,0.02904773,0.00464191,2.63e-06,0.00331516,0.00701633,7.33e-06,1.301e-05,0.00121892,69.79943997
"AS27",6.173,7.09496311,17.351,4.841,38299.96242,0.09363295269,0.00248755,0.04290397,9.041e-05,7.441e-05,0.00010265,0.00875163,0.0056768,0.01009639,0.00150437,0.00030987,9.148e-05,1.451e-05,0.019451,0.00037163,0.00090589,0.00100105,0.00082097,0.03402237,0.00189085,6.3e-07,4.65e-05,0.00050118,4.4e-06,1.22e-06,0.00042389,65.2296174735883
"AS35",6.391,4.572673798,10.523,3.007,31344.66889,0.099276411,0.00129815,0.16300393,0.00016931,0.0003804,0.00033792,0.0077472,0.01019814,0.00540033,0.00880476,0.00030157,0.00013844,1.173e-05,0.10468568,0.00098625,0.00960203,0.00087148,0.00079898,0.00617824,0.00261746,1.67e-06,0.0022349,0.00201987,7.93e-06,1.272e-05,0.00104336,72.88414723
