Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,
Acworth Police Dept,GA,12,      20932,          52.6,            .0,            .0,          19.1,          33.4
Albany Police Dept,GA,12,      78512,       1035.5,           5.1,          34.4,         285.3,         710.7
Alpharetta Police Dept,GA,12,      60031,          70.0,           1.7,          10.0,          30.0,          28.3
Americus Police Dept,GA,12,      16988,       1289.1,            .0,            .0,         223.7,       1065.5
Athens-Clarke County Police Department,GA,12,     117457,         387.4,           4.3,          40.9,         134.5,         207.7
Atlanta Police Dept,GA,12,     437041,       1379.0,          19.0,          25.9,         520.8,         813.4
Richmond,GA,12,,,,,,
Bainbridge Police Dept,GA,12,      12764,         697.3,          15.7,          15.7,          70.5,         595.4
Baldwin County Sheriff Department,GA,12,,,,,,
Barrow County Sheriff Department,GA,12,,,,,,
Bartow County Sheriff Department,GA,12,,,,,,
Bibb County Sheriff Department,GA,12,,,,,,
Brunswick Police Dept,GA,12,      15691,       1402.1,          25.5,          19.1,         388.8,         968.7
Bulloch County Sheriff Department,GA,12,,,,,,
Calhoun Police Dept,GA,12,      15941,         219.6,            .0,          18.8,          37.6,         163.1
Canton (Cherokee Co) Police Dept,GA,12,      23629,          76.2,            .0,          16.9,          29.6,          29.6
Carroll County Sheriff Department,GA,12,,,,,,
Carrollton Police Dept,GA,12,      24774,         629.7,           8.1,          44.4,         169.5,         407.7
Cartersville Police Dept,GA,12,      19993,         255.1,          10.0,          30.0,          60.0,         155.1
Catoosa County Sheriff Department,GA,12,,,,,,
Chamblee Police Dept,GA,12,      15842,         303.0,            .0,          12.6,         183.1,         107.3
Cherokee County Sheriff Department,GA,12,,,,,,
Clayton County Police Department,GA,12,,,,,,
Cobb County Police Department,GA,12,,,,,,
Coffee County Sheriff Department,GA,12,,,,,,
City Of College Park Police Dept,GA,12,      14513,       2018.9,          34.5,         172.3,         978.4,         833.7
Colquitt County Sheriff Department,GA,9,,,,,,
Columbia County Sheriff Department,GA,12,,,,,,
Columbus Police Dept,GA,12,     196178,         506.7,           8.7,          15.8,         215.6,         266.6
Conyers Police Dept,GA,12,      15455,         427.0,            .0,           6.5,         174.7,         245.9
Cordele Police Dept,GA,12,      11397,         798.5,          26.3,          79.0,         315.9,         377.3
Covington Police Dept,GA,12,      13367,         433.9,           7.5,          89.8,         142.1,         194.5
Coweta County Sheriff Department,GA,12,,,,,,
Dallas Police Dept,GA,12,      11762,         178.5,            .0,           8.5,          59.5,         110.5
Dalton Police Dept,GA,12,      33668,         261.4,           5.9,          23.8,          77.2,         154.4
