"Date"	"United.States"	"Georgia"	"Atlanta"	"HHSRegion4"
2003-09-28	902	514	519	631
2003-10-05	952	532	484	652
2003-10-12	1092	557	497	735
2003-10-19	1209	608	563	822
2003-10-26	1249	745	845	797
2003-11-02	1374	767	771	850
2003-11-09	1702	803	705	1153
2003-11-16	2148	1236	1527	1479
2003-11-23	2968	1526	2198	2182
2003-11-30	3524	2922	3417	3192
2003-12-07	5389	5691	8408	6251
2003-12-14	7276	7393	11488	9518
2003-12-21	8196	9060	9416	9582
2003-12-28	5250	5403	4275	5378
2004-01-04	3154	2814	3018	2720
2004-01-11	2057	1707	1659	1717
2004-01-18	1616	1330	1432	1377
2004-01-25	1396	1074	1139	1041
2004-02-01	1227	1016	1129	971
2004-02-08	1186	988	962	835
2004-02-15	1162	898	864	792
2004-02-22	1118	855	788	775
2004-02-29	989	744	640	635
2004-03-07	919	643	600	576
2004-03-14	846	561	538	639
2004-03-21	883	570	646	592
2004-03-28	808	525	583	521
2004-04-04	831	528	633	565
2004-04-11	796	516	544	521
2004-04-18	719	475	473	468
2004-04-25	722	451	425	424
2004-05-02	705	414	369	416
2004-05-09	680	402	328	406
2004-05-16	663	413	338	457
2004-05-23	649	422	324	409
2004-05-30	650	431	394	420
2004-06-06	653	429	391	451
2004-06-13	631	389	362	420
2004-06-20	623	369	344	386
2004-06-27	602	379	345	432
2004-07-04	629	378	343	413
2004-07-11	597	372	356	360
2004-07-18	576	410	357	397
2004-07-25	587	420	360	367
2004-08-01	593	392	338	401
2004-08-08	599	384	333	412
2004-08-15	618	378	331	430
2004-08-22	676	386	418	516
2004-08-29	701	412	469	454
2004-09-05	810	455	493	493
2004-09-12	826	438	462	501
2004-09-19	898	484	458	573
2004-09-26	922	481	434	599
2004-10-03	1139	613	491	757
2004-10-10	1408	944	779	969
2004-10-17	1630	1254	1066	1158
2004-10-24	1767	1335	1044	1306
2004-10-31	1804	1317	1268	1349
2004-11-07	1819	1452	1360	1419
2004-11-14	1761	1310	1313	1428
2004-11-21	1595	1123	1076	1152
2004-11-28	1800	1509	1276	1424
2004-12-05	1782	1341	1210	1324
2004-12-12	1850	1275	1255	1271
2004-12-19	2206	1430	1329	1559
2004-12-26	2715	1534	1519	1767
2005-01-02	2673	1584	1877	1806
2005-01-09	2459	1649	1470	1511
2005-01-16	2562	1516	1674	1606
2005-01-23	2886	1982	2190	2096
2005-01-30	3429	2748	2916	2816
2005-02-06	4037	3719	3856	3742
2005-02-13	4065	3989	3840	3950
2005-02-20	3540	3611	3611	3452
2005-02-27	2875	2748	2666	2745
2005-03-06	2554	2480	2634	2528
2005-03-13	2230	2356	2494	2312
2005-03-20	2024	1620	1727	1847
2005-03-27	1749	1268	1234	1432
2005-04-03	1421	1012	958	999
2005-04-10	1186	786	796	838
2005-04-17	1083	726	751	754
2005-04-24	1017	693	727	696
2005-05-01	959	682	770	668
2005-05-08	902	579	622	616
2005-05-15	850	469	522	534
2005-05-22	850	453	474	550
2005-05-29	826	537	434	565
2005-06-05	751	540	518	490
2005-06-12	761	506	471	483
2005-06-19	740	472	402	469
2005-06-26	684	430	418	458
2005-07-03	711	428	384	481
2005-07-10	712	457	363	444
2005-07-17	697	475	440	490
2005-07-24	695	462	435	449
2005-07-31	693	439	379	469
2005-08-07	710	464	448	495
2005-08-14	739	568	422	508
2005-08-21	787	535	452	529
2005-08-28	772	569	481	559
2005-09-04	881	628	479	633
2005-09-11	1053	713	534	730
2005-09-18	1068	777	579	740
2005-09-25	1177	800	695	816
2005-10-02	1364	993	835	951
2005-10-09	1504	1259	980	1162
2005-10-16	1532	1162	1061	1202
2005-10-23	1591	1255	858	1257
2005-10-30	1858	1582	1107	1538
2005-11-06	1778	1496	1170	1467
2005-11-13	1811	1268	1152	1447
2005-11-20	1640	1292	1201	1236
2005-11-27	1808	1373	1313	1315
2005-12-04	1806	1328	1455	1303
2005-12-11	2050	1246	1209	1410
2005-12-18	2494	1628	1161	1560
2005-12-25	2915	2018	1367	1971
2006-01-01	2522	1867	1694	1816
2006-01-08	2098	1326	1338	1487
2006-01-15	1998	1471	1438	1541
2006-01-22	2137	1714	1573	1700
2006-01-29	2155	1908	1567	1823
2006-02-05	2221	1895	1623	1943
2006-02-12	2437	2690	2460	2526
2006-02-19	2567	2746	2322	2737
2006-02-26	2564	2086	2015	2482
2006-03-05	2457	1728	1773	2103
2006-03-12	2170	1167	1236	1644
2006-03-19	2057	1208	1035	1379
2006-03-26	1896	1187	907	1302
2006-04-02	1574	765	768	953
2006-04-09	1363	641	672	807
2006-04-16	1191	675	624	742
2006-04-23	1090	568	574	698
2006-04-30	1060	588	554	669
2006-05-07	1003	676	560	683
2006-05-14	939	647	569	661
2006-05-21	927	536	576	593
2006-05-28	884	596	520	605
2006-06-04	818	639	569	610
2006-06-11	775	560	580	536
2006-06-18	729	531	528	482
2006-06-25	706	510	484	453
2006-07-02	735	492	456	487
2006-07-09	717	482	457	458
2006-07-16	695	456	490	446
2006-07-23	695	540	531	504
2006-07-30	677	478	549	437
2006-08-06	681	506	533	454
2006-08-13	717	583	517	506
2006-08-20	741	645	573	556
2006-08-27	760	576	546	555
2006-09-03	861	774	646	643
2006-09-10	965	778	878	685
2006-09-17	1101	839	819	781
2006-09-24	1133	788	780	785
2006-10-01	1178	873	807	843
2006-10-08	1230	879	911	906
2006-10-15	1297	1105	1063	1053
2006-10-22	1445	1229	1094	1123
2006-10-29	1577	1244	1172	1263
2006-11-05	1636	1476	1470	1449
2006-11-12	1758	1626	1548	1578
2006-11-19	1595	1711	1383	1455
2006-11-26	1889	1814	1519	1759
2006-12-03	1886	1875	1648	1724
2006-12-10	2079	2568	2245	2414
2006-12-17	2305	3333	2624	2969
2006-12-24	2547	3012	2930	2682
2006-12-31	2419	2165	2158	2112
2007-01-07	2082	1589	1836	1697
2007-01-14	1968	1573	1529	1590
2007-01-21	2182	1769	1606	1842
2007-01-28	2409	1927	1782	1993
2007-02-04	2806	2337	1992	2199
2007-02-11	2970	2760	2339	2482
2007-02-18	2941	2648	2139	2598
2007-02-25	2641	2259	2113	2292
2007-03-04	2424	1954	1822	1937
2007-03-11	2086	1685	1616	1626
2007-03-18	1893	1412	1259	1444
2007-03-25	1604	1046	1118	1141
2007-04-01	1375	864	976	875
2007-04-08	1372	952	1049	935
2007-04-15	1243	832	1042	820
2007-04-22	1080	852	974	762
2007-04-29	980	714	867	644
2007-05-06	931	646	744	649
2007-05-13	878	697	710	633
2007-05-20	850	646	675	560
2007-05-27	840	602	670	573
2007-06-03	774	586	635	547
2007-06-10	764	634	608	520
2007-06-17	748	546	583	491
2007-06-24	720	572	532	509
2007-07-01	708	552	552	486
2007-07-08	701	509	520	449
2007-07-15	705	631	505	487
2007-07-22	699	597	529	493
2007-07-29	705	574	535	486
2007-08-05	723	583	562	501
2007-08-12	744	643	604	519
2007-08-19	763	609	567	529
2007-08-26	809	656	540	590
2007-09-02	903	763	506	680
2007-09-09	957	726	602	691
2007-09-16	1041	721	728	727
2007-09-23	1082	711	782	782
2007-09-30	1180	878	824	850
2007-10-07	1210	843	857	892
2007-10-14	1326	1091	878	1035
2007-10-21	1377	1145	1068	1085
2007-10-28	1512	1281	1200	1188
