"Date"	"United.States"	"Georgia"	"Atlanta"	"flu_high"
2013-01-01	NA	NA	NA	NA
2013-01-02	NA	NA	NA	NA
2013-01-03	NA	NA	NA	NA
2013-01-04	NA	NA	NA	NA
2013-01-05	NA	NA	NA	NA
2013-01-06	10112	10380	10455	"High"
2013-01-07	NA	NA	NA	NA
2013-01-08	NA	NA	NA	NA
2013-01-09	NA	NA	NA	NA
2013-01-10	NA	NA	NA	NA
2013-01-11	NA	NA	NA	NA
2013-01-12	NA	NA	NA	NA
2013-01-13	10555	10231	9976	"High"
2013-01-14	NA	NA	NA	NA
2013-01-15	NA	NA	NA	NA
2013-01-16	NA	NA	NA	NA
2013-01-17	NA	NA	NA	NA
2013-01-18	NA	NA	NA	NA
2013-01-19	NA	NA	NA	NA
2013-01-20	9408	7813	8823	"High"
2013-01-21	NA	NA	NA	NA
2013-01-22	NA	NA	NA	NA
2013-01-23	NA	NA	NA	NA
2013-01-24	NA	NA	NA	NA
2013-01-25	NA	NA	NA	NA
2013-01-26	NA	NA	NA	NA
2013-01-27	7209	6294	7383	"High"
2013-01-28	NA	NA	NA	NA
2013-01-29	NA	NA	NA	NA
2013-01-30	NA	NA	NA	NA
2013-01-31	NA	NA	NA	NA
2013-02-01	NA	NA	NA	NA
2013-02-02	NA	NA	NA	NA
2013-02-03	5541	5344	5919	"High"
2013-02-04	NA	NA	NA	NA
2013-02-05	NA	NA	NA	NA
2013-02-06	NA	NA	NA	NA
2013-02-07	NA	NA	NA	NA
2013-02-08	NA	NA	NA	NA
2013-02-09	NA	NA	NA	NA
2013-02-10	4555	4755	5230	"High"
2013-02-11	NA	NA	NA	NA
2013-02-12	NA	NA	NA	NA
2013-02-13	NA	NA	NA	NA
2013-02-14	NA	NA	NA	NA
2013-02-15	NA	NA	NA	NA
2013-02-16	NA	NA	NA	NA
2013-02-17	4240	4563	4998	"High"
2013-02-18	NA	NA	NA	NA
2013-02-19	NA	NA	NA	NA
2013-02-20	NA	NA	NA	NA
2013-02-21	NA	NA	NA	NA
2013-02-22	NA	NA	NA	NA
2013-02-23	NA	NA	NA	NA
2013-02-24	3784	4355	4713	"High"
2013-02-25	NA	NA	NA	NA
2013-02-26	NA	NA	NA	NA
2013-02-27	NA	NA	NA	NA
2013-02-28	NA	NA	NA	NA
2013-03-01	NA	NA	NA	NA
2013-03-02	NA	NA	NA	NA
2013-03-03	3504	4208	4601	"High"
