"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"HE39",1.51,3.607811556,23.9667019814656,4.481,24431.89353,90.65127021,0.34486,6.8478,0.01469,0.02818,0.01996,3.57828,0.76522,1.47611,0.06,0.26478,0.01192,0.00066,0.52004,13.94998,1.36453,0.03775,0.7015,4.46107,2.21841,0.00026,0.07536,0.75647,0.00367,0.01133,0.18928,66.37833653
"AS03",1.51,4.996560553,23.463,3.915,24481.4248,115.8626907,3.44108,214.3712,0.41737,1.07616,4.04695,15.78872,18.36244,28.45698,21.34802,0.46633,0.41,0.07657,223.07268,40.50594,93.06081,2.25544,0.62903,14.03574,4.81226,0.00406,4.16667,9.17166,0.0433,0.03703,3.80265,75.41552562
"AS25",1.51,6.137674724,22.317,8.577,12427.88225,110.4082625,3.78153,219.74288,0.27708,0.93742,0.46801,29.94213,70.32135,29.58324,21.41892,0.82137,0.30141,0.0897,218.30939,10.8016,28.60475,1.95755,1.2658,27.234,13.54314,0.00432,5.12647,8.70795,0.02702,0.02138,2.17759,68.15741394
"AS26",1.51,7.25040889,8.691,3.24,23046.58312,127.8908123,0.02185,12.00566,0.04467,0.04941,0.05333,56.01216,16.82347,2.58794,0.10519,1.03314,1.19838,0.05152,3.62565,5.90828,0.09365,0.02036,1.33806,7.82121,2.96593,0.00062,0.63078,0.84397,0.00644,0.03504,0.33185,72.02033062
"HE18",3.082,9.161593599,20.184,1.663,12034.67511,160.6929032,0.31866,17.49126,0.06782,0.10498,0.05427,5.45871,13.63305,7.7033,1.58062,0.40392,0.08836,0.001,39.8599,2.75866,2.08161,0.19442,1.07015,15.80407,1.58312,0.00017,1.41012,0.56424,0.00743,0.01728,0.02387,68.81096758
"AS31",4.588,2.434585694,10.459,3.127,11689.85151,72.12355848,0.93616,26.83252,0.04195,0.14273,0.02918,5.85142,15.69161,1.36026,0.71172,0.43298,0.16689,0.01334,5.18871,2.3608,2.42387,0.00877,1.14714,7.29501,1.69701,0.00058,0.70124,1.23702,0.02453,0.01853,0.30952,70.54568553
"HE13",5.306,2.487603308,19.3,3.681,12741.72526,58.14374354,10.35102,37.24967,0.05385,0.39328,2.75015,2.00231,4.53054,5.08833,3.89362,0.16944,0.08136,0.04886,40.40927,26.46294,51.4277,0.34535,0.83716,19.63786,1.96508,0.00063,1.14706,1.16281,0.01236,0.00356,0.17836,75.7590631796513
"HE22",6.019,5.253295563,16.578,0.196,15844.9920619845,98.62892224,0.5208,72.86595,0.14622,0.34857,0.34081,18.27086,51.59362,13.00286,14.10838,0.15866,0.19895,0.04816,132.28547,4.24511,17.84596,1.1987,0.47427,29.04773,4.64191,0.00263,3.31516,7.01633,0.00733,0.01301,1.21892,69.79943997
"AS27",6.173,7.09496311,17.351,4.841,38299.96242,93.63295269,2.48755,42.90397,0.09041,0.07441,0.10265,8.75163,5.6768,10.09639,1.50437,0.30987,0.09148,0.01451,19.451,0.37163,0.90589,1.00105,0.82097,34.02237,1.89085,0.00063,0.0465,0.50118,0.0044,0.00122,0.42389,65.2296174735883
"AS35",6.391,4.572673798,10.523,3.007,31344.66889,99.276411,1.29815,163.00393,0.16931,0.3804,0.33792,7.7472,10.19814,5.40033,8.80476,0.30157,0.13844,0.01173,104.68568,0.98625,9.60203,0.87148,0.79898,6.17824,2.61746,0.00167,2.2349,2.01987,0.00793,0.01272,1.04336,72.88414723
"AS36",6.612,4.71634215224045,15.87,0.544,16991.55315,90.37802908,0.91937,140.34886,0.43031,0.47337,0.69415,5.07352,14.45936,17.09511,19.27971,0.38044,0.07663,0.06103,158.85096,5.11779,15.88336,1.69294,0.79493,5.83274,3.06121,0.00163,3.35509,4.69089,0.02578,0.01582,2.95956,69.90129429
"SA22",6.73,4.14264,6.61,3.0227,11103.4,105.858953856015,0.824734324,56.23839744,0.208454475,10.97795074,0.231872934,15.75266271,21.83275845,4.040008464,13.60942761,2.018470421,0.187886584,0.065466849,119.4571528,1.998545147,109.1916756,1.015050969,1.148270323,5.823562,2.776088027,0.001560852,2.675116701,5.108587745,0.018900251,0.008705734,1.193321978,66.3969
"SA35",6.78,1.86675,5.10919515166157,15.158,12317.3,70.3703,0.613030302,46.05437275,0.186307421,7.211651177,0.283476907,3.482529928,8.72315376,4.939123692,8.595694538,1.005228263,0.109799654,0.027634968,81.86106808,2.443326981,37.04618773,0.633446453,1.403821108,7.119612075,3.393914212,0.000890129,3.02714995,2.174772954,0.005815793,0.01064322,0.930723466,64.2661
"SA28",6.88,2.37817,4.12,3.2262,17589.0723444825,93.1016,0.2516813,24.225853,0.123937765,5.901370614,0.256860368,3.155544239,7.904109415,4.475373833,5.073960735,0.91084422,0.155540319,0.025040234,37.04828402,2.213915325,27.80893319,0.219846598,1.272011928,6.451129303,3.075248931,0.000806552,1.115768318,1.970576681,0.00851815,0.009643895,0.604397808,71.1641
"AS21",7.801,1.071335127,21.446,3.146,20458.34186,77.20098847,0.38758,153.04005,0.12862,0.99444,0.48285,77.94126,18.23366,38.74201,6.00475,0.13557,0.33186,0.06206,64.84677,8.44183,44.65754,2.21669,0.45071,23.56495,5.19697,0.00499,2.56599,1.9378,0.01332,0.01352,0.64884,72.22789969
"SH47",7.83,2.38598,5.7,7.5055,24925.1,92.2176,0.603564664,126.5914811,0.228187333,12.77588088,0.23950175,20.31249641,30.38161561,4.172928154,8.416567825,0.849289385,0.218485669,0.023348015,68.16419962,6.816596065,144.9881493,0.544261074,3.071418058,6.015162108,2.867423667,0.000752045,1.715158693,1.837405146,0.007109396,0.00899216,18.43520263,70.564
